file_id.serial_number,file_id.time_created,file_id.manufacturer,file_id.garmin_product,file_id.type,file_creator.software_version,device_info.timestamp[s],device_info.serial_number,device_info.manufacturer,device_info.garmin_product,device_info.software_version,unknown.unknown,event.timestamp[s],event.data,event.event,event.event_type,sleep_assessment.average_stress_during_sleep,sleep_assessment.combined_awake_score,sleep_assessment.awake_time_score,sleep_assessment.awakenings_count_score,sleep_assessment.deep_sleep_score,sleep_assessment.sleep_duration_score,sleep_assessment.light_sleep_score,sleep_assessment.overall_sleep_score,sleep_assessment.sleep_quality_score,sleep_assessment.sleep_recovery_score,sleep_assessment.rem_sleep_score,sleep_assessment.sleep_restlessness_score,sleep_assessment.awakenings_count,sleep_assessment.unknown,sleep_assessment.interruptions_score,sleep_level.timestamp[s],sleep_level.sleep_level,
"3478404119","1094361133","1","4394","49",,,,,,,,,,,,,
"3478404119","1094361133","1","4394","49","1611",,,,,,,,,,,,
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11",,,,,,,
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1",,,,,,
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094345700","1094352900","74","0",,
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1",,
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094346300","2",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094347500","1",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094347800","2",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094350560","3",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094350980","2",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094352000","4",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094352900","2",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094353620","3",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094354220","2",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094356380","3",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094356920","2",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094357520","4",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","1","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094359620","2",
"3478404119","1094361133","1","4394","49","1611","1094361133","3478404119","1","4394","16.11","14","1094359620","1094366820","74","1","16.17","83","80","87","100","26","100","47","82","78","63","98","1","0","86","1094359620","2",
