file_id.serial_number,file_id.time_created,file_id.manufacturer,file_id.garmin_product,file_id.number,file_id.type,device_info.timestamp[s],device_info.serial_number,device_info.manufacturer,device_info.garmin_product,device_info.software_version,software.version,unknown.unknown,monitoring_info.timestamp[s],monitoring_info.local_timestamp[s],monitoring_info.cycles_to_distance[m/cycle],monitoring_info.cycles_to_calories[kcal/cycle],monitoring_info.unknown,monitoring_info.resting_metabolic_rate[kcal / day],monitoring_info.activity_type,monitoring.timestamp[s],monitoring.distance[m],monitoring.cycles[cycles],monitoring.active_time[s],monitoring.active_calories[kcal],monitoring.duration_min[min],monitoring.activity_type,monitoring.steps[steps],monitoring.unknown,monitoring_hr_data.timestamp[s],monitoring_hr_data.resting_heart_rate[bpm],monitoring_hr_data.current_day_resting_heart_rate[bpm],ohr_settings.timestamp[s],ohr_settings.enabled,event.timestamp[s],event.data16,event.event,event.event_type,event.data,stress_level.stress_level_time[s],stress_level.stress_level_value,stress_level.unknown,respiration_rate.timestamp,respiration_rate.respiration_rate[breaths/min],monitoring.timestamp_16[s],monitoring.heart_rate[bpm],monitoring.current_activity_type_intensity,monitoring.intensity,event.auto_activity_detect_start_timestamp[s],event.activity_type,event.auto_activity_detect_duration[min],monitoring.descent[m],monitoring.ascent[m]
3478404119,1091538180,1,4394,14,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478404119,1091538180,1,4394,14,32,1091538180,3478404119,1,4394,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478404119,1091538180,1,4394,14,32,1091538180,3478404119,1,4394,16.1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478404119,1091538180,1,4394,14,32,1091538180,3478404119,1,4394,16.1,6,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478404119,1091538180,1,4394,14,32,1091538180,3478404119,1,4394,16.1,6,200,1091538180,1091545380,1.7622|2.6432,0.0982|0.3092,11620|11620,2837,6|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478404119,1091538180,1,4394,14,32,1091538180,3478404119,1,4394,16.1,6,10|141|15|65|0|2|0|224|230|0|0|192|205|1|0|0|0|0|0|0|0|0|0|0|0,1091538180,1091545380,1.7622|2.6432,0.0982|0.3092,11620|11620,2837,6|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478404119,1091538180,1,4394,14,32,1091538180,3478404119,1,4394,16.1,6,10|141|15|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1091538180,1091545380,1.7622|2.6432,0.0982|0.3092,11620|11620,2837,6|1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3478404119,1091538180,1,4394,14,32,1091538180,3478404119,1,4394,16.1,6,10|141|15|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1091538180,1091545380,1.7622|2.6432,0.0982|0.3092,11620|11620,2837,6|1,1091538180,0,0,1627,139,903,0,,,,,,,,,,,,,,,,,,,,,,,,,,
3478404119,1091538180,1,4394,14,32,1091538180,3478404119,1,4394,16.1,6,10|141|15|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1091538180,1091545380,1.7622|2.6432,0.0982|0.3092,11620|11620,2837,6|1,1091538180,6091.94,0,7559,640,903,6,6914,,,,,,,,,,,,,,,,,,,,,,,,,
3478404119,1091538180,1,4394,14,32,1091538180,3478404119,1,4394,16.1,6,10|141|15|65|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0,1091538180,1091545380,1.7622|2.6432,0.0982|0.3092,11620|11620,2837,6|1,1091538180,6091.94,0,7559,640,903,6,6914,46750,,,,,,,,,,,,,,,,,,,,,,,,
